MMSI,total_points,gaps_gt_1hr,gaps_gt_8hr,percent_gt_1hr,max_gap_hours,avg_gap_minutes,median_gap_minutes
367120640,19639,213,138,1.08,1415.89,23.1,1.15
338229941,14224,140,50,0.98,968.08,32.16,1.18
367709160,14346,141,100,0.98,455.95,18.56,1.08
367587070,43887,271,73,0.62,1150.34,10.35,1.5
367655260,90787,492,123,0.54,183.29,5.02,1.18
338399049,12526,58,54,0.46,1284.38,35.99,1.18
368245920,50858,195,52,0.38,1105.5,8.91,1.95
338375213,17322,65,62,0.38,477.18,13.8,1.18
367584050,23047,71,64,0.31,760.6,19.35,1.17
338389953,14489,45,36,0.31,1082.01,28.23,1.12
366938840,31921,90,83,0.28,571.48,14.23,1.07
369232000,136341,379,114,0.28,74.99,3.32,1.18
338405326,14631,40,40,0.27,3742.46,30.06,1.17
368291370,11093,29,4,0.26,282.81,5.46,1.32
338753000,92788,234,71,0.25,401.37,4.89,1.2
338615000,140321,296,66,0.21,129.24,3.25,1.18
367194000,196231,303,26,0.15,247.97,2.33,1.18
367141930,19667,23,22,0.12,1484.75,23.17,1.17
368284000,89259,92,12,0.1,209.06,3.54,1.33
368076640,189571,193,37,0.1,577.53,2.42,1.18
367717050,251526,193,9,0.08,64.51,1.82,1.18
367313000,131395,110,13,0.08,200.0,3.48,3.0
368294050,106514,88,21,0.08,388.28,2.51,1.17
367506560,206952,146,18,0.07,182.53,2.21,1.18
367388520,242717,124,12,0.05,314.29,1.89,1.15
366617950,160163,81,21,0.05,83.79,2.85,2.98
367751630,168919,60,21,0.04,1539.02,2.63,1.18
367635620,168683,63,9,0.04,274.28,2.69,2.95
368243930,169433,56,27,0.03,1316.87,2.36,1.17
338454000,198104,57,22,0.03,348.34,2.31,1.17
369389000,187607,33,7,0.02,24.57,2.44,3.0
367546220,166521,39,7,0.02,1197.53,2.75,1.18
367479870,123604,24,6,0.02,1796.5,3.62,1.18
367314640,278873,47,6,0.02,307.41,1.64,1.17
366939780,354617,69,4,0.02,37.85,1.29,1.17
367575990,387752,26,1,0.01,8.05,1.18,1.17
367617020,366222,51,4,0.01,9.45,1.25,1.17
366902270,350269,27,6,0.01,681.84,1.31,1.15
306132000,17124,2,0,0.01,2.3,1.29,1.17
306009000,57924,5,1,0.01,1856.2,3.14,1.17
244010952,177611,21,4,0.01,15.95,1.55,1.17
205684000,56342,1,0,0.0,1.7,1.72,1.17
366878290,367048,17,2,0.0,448.04,1.25,1.17
209951000,79970,1,0,0.0,1.65,1.2,1.17
205694000,76004,2,0,0.0,1.65,1.38,1.17
205644000,61452,2,0,0.0,1.65,1.72,1.17
